CHEMBLID,smiles,ido_ic50,tdo_ic50
CHEMBL4282227,Nc1sc2ccccc2c1Nc1ccc(Br)c(C(F)(F)F)c1,6.698970004336019,5.698970004336019
CHEMBL4282241,CC(F)(F)c1cc(Nc2c(N)oc3cnccc23)ccc1F,6.698970004336019,5.698970004336019
CHEMBL4282272,Nc1oc2cnccc2c1Nc1ccc(Cc2ccccc2)cc1,6.0,6.301029995663981
CHEMBL4282281,Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4282298,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4282402,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,6.698970004336019,6.301029995663981
CHEMBL4282546,CCc1cccc(Nc2c(N)oc3cnccc23)c1,6.698970004336019,5.698970004336019
CHEMBL4282590,Cc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,6.698970004336019,6.301029995663981
CHEMBL4282826,Nc1oc2c(-c3ccc(F)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
CHEMBL4282888,CCOC(=O)Nc1oc2c(-c3ccnc(C)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(F)c1,6.0,5.698970004336019
CHEMBL4282901,CCc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,6.698970004336019,5.698970004336019
CHEMBL4282903,N#Cc1nccc2c(Nc3ccccc3Cl)c(N)oc12,6.698970004336019,5.698970004336019
CHEMBL4283091,COc1ccc(Cl)cc1Nc1c(N)oc2cnccc12,6.0,6.301029995663981
CHEMBL4283101,Nc1sc2ccccc2c1Nc1cccc(Br)c1,6.698970004336019,6.301029995663981
CHEMBL4283109,N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,5.4698003017969175,4.220259248823259
CHEMBL4283161,Nc1oc2cnccc2c1Nc1ccc(Oc2ccccc2)cc1,6.0,5.698970004336019
CHEMBL4283286,N#Cc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,6.698970004336019,6.301029995663981
CHEMBL4283317,Nc1oc2cc([N+](=O)[O-])ccc2c1Nc1ccc(F)c(Cl)c1,6.698970004336019,6.301029995663981
